"","school_district","household_income","household_income_all_households","household_income_all_households_with_earnings","household_income_all_households_with_earnings_with_wages_or_salary_income","household_income_all_households_with_earnings_with_self_employment_income","household_income_all_households_with_interest_dividends_or_net_rental_income","ssi_percent","household_income_all_households_with_supplemental_security_income_ssi","household_income_all_households_with_cash_public_assistance_income_or_food_stamps_snap","household_income_all_households_with_cash_public_assistance_income_or_food_stamps_snap_with_cash_public_assistance","household_income_all_households_with_retirement_income","household_income_all_households_with_other_types_of_income","family_income_by_number_of_workers_in_family","family_income_by_number_of_workers_in_family_all_families","family_income_by_number_of_workers_in_family_all_families_no_workers","family_income_by_number_of_workers_in_family_all_families_1_worker","family_income_by_number_of_workers_in_family_all_families_2_workers_both_spouses_worked","family_income_by_number_of_workers_in_family_all_families_2_workers_other","family_income_by_number_of_workers_in_family_all_families_3_or_more_workers_both_spouses_worked","family_income_by_number_of_workers_in_family_all_families_3_or_more_workers_other","per_capita_income_by_race_and_hispanic_or_latino_origin","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population_one_race","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population_one_race_white","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population_one_race_black_or_african_american","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population_one_race_american_indian_and_alaska_native","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population_one_race_asian","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population_one_race_native_hawaiian_and_other_pacific_islander","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population_one_race_some_other_race","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population_two_or_more_races","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population_hispanic_or_latino_origin_of_any_race","per_capita_income_by_race_and_hispanic_or_latino_origin_total_population_white_alone_not_hispanic_or_latino","state"
"255","Columbia County",NA,"51,178","77.0%","75.6%","10.2%","20.9%",32.7,"4.3%","9.3%","1.5%","30.4%","20.4%",NA,"38,551","17.0%","30.2%","28.5%","7.7%","12.5%","4.0%",NA,"159,639",NA,"65.4%","16.6%","0.4%","3.8%","0.0%","5.6%","8.2%","7.6%","64.1%","GA"
"256","Coweta County",NA,"55,729","80.6%","79.7%","9.4%","17.7%",30.9,"5.2%","10.3%","5.1%","25.4%","12.7%",NA,"42,773","13.3%","31.6%","31.4%","10.2%","11.5%","2.0%",NA,"149,956",NA,"71.0%","15.1%","0.5%","1.7%","0.0%","1.9%","9.8%","7.7%","68.4%","GA"
"257","DeKalb County",NA,"252,819","81.9%","78.8%","10.5%","17.4%",26.6,"3.8%","14.1%","1.7%","22.5%","12.9%",NA,"143,474","11.2%","35.0%","27.4%","14.8%","6.5%","5.1%",NA,"697,331",NA,"27.2%","54.6%","0.1%","6.2%","0.1%","2.9%","8.9%","8.8%","26.2%","GA"
"258","Dougherty",NA,"34,835","69.8%","68.2%","10.6%","12.8%",33.8,"8.4%","27.7%","3.4%","25.2%","14.2%",NA,"19,184","18.4%","41.9%","21.1%","10.8%","3.4%","4.3%",NA,"84,844",NA,"23.6%","69.7%","0.1%","0.8%","0.0%","1.7%","4.2%","3.2%","23.4%","GA"
"259","Douglas County",NA,"51,441","81.9%","80.3%","11.7%","10.6%",26.7,"5.6%","14.5%","3.1%","22.9%","18.4%",NA,"37,745","10.8%","35.6%","28.3%","11.2%","9.4%","4.7%",NA,"145,814",NA,"36.7%","51.3%","0.1%","1.7%","0.0%","3.2%","7.0%","11.1%","33.7%","GA"
"260","Effingham County",NA,"23,373","82.7%","79.2%","9.0%","12.8%",33.5,"8.2%","8.5%","2.2%","28.9%","15.4%",NA,"17,248","N","N","N","N","N","N",NA,"66,741",NA,"75.1%","14.3%","0.1%","0.7%","0.0%","3.2%","6.6%","N","N","GA"
"261","Fayette County",NA,"43,689","74.7%","71.6%","9.8%","24.4%",34.5,"3.7%","6.6%","3.0%","35.3%","13.7%",NA,"35,749","19.7%","32.4%","26.4%","10.3%","7.9%","3.4%",NA,"120,574",NA,"60.2%","23.7%","0.0%","5.1%","0.0%","2.2%","8.8%","7.9%","58.4%","GA"
"262","Forsyth County",NA,"86,475","86.1%","83.6%","12.4%","24.6%",22.1,"1.8%","5.2%","1.6%","20.6%","12.6%",NA,"72,570","9.8%","29.6%","39.4%","8.0%","11.0%","2.2%",NA,"260,206",NA,"65.9%","4.2%","0.6%","16.6%","0.0%","2.7%","10.0%","9.8%","64.5%","GA"
"263","Fulton County",NA,"248,444","86.2%","83.6%","12.8%","21.0%",20.4,"4.3%","9.7%","2.5%","17.7%","12.9%",NA,"159,957","10.0%","32.7%","33.8%","11.0%","8.9%","3.5%",NA,"608,766",NA,"40.4%","38.2%","0.5%","9.4%","0.0%","3.2%","8.3%","8.3%","38.2%","GA"
"264","Glynn County",NA,"34,137","71.4%","66.5%","11.4%","19.1%",42.4,"5.0%","13.4%","1.6%","31.4%","8.3%",NA,"21,505","N","N","N","N","N","N",NA,"84,739",NA,"62.4%","23.6%","1.1%","1.7%","0.0%","3.3%","7.8%","6.9%","61.4%","GA"
"265","Spalding County",NA,"25,696","69.4%","65.3%","11.8%","10.4%",36.9,"5.2%","18.1%","0.7%","28.1%","17.0%",NA,"19,048","N","N","N","N","N","N",NA,"67,909",NA,"56.7%","34.4%","0.3%","0.2%","0.0%","2.6%","5.7%","5.5%","53.7%","GA"
"266","Gwinnett County",NA,"317,715","86.1%","82.7%","12.8%","16.5%",22.1,"3.1%","9.5%","2.9%","17.8%","11.6%",NA,"238,789","9.8%","29.9%","32.5%","12.4%","10.7%","4.7%",NA,"948,163",NA,"34.7%","28.8%","0.7%","13.1%","0.0%","9.6%","13.1%","21.9%","32.7%","GA"
"267","Hall County",NA,"53,796","80.2%","76.9%","14.2%","19.4%",31.3,"3.9%","10.3%","2.4%","24.0%","12.7%",NA,"39,224","14.8%","28.5%","32.0%","9.8%","10.4%","4.4%",NA,"159,676",NA,"65.9%","4.0%","0.4%","1.8%","0.0%","6.9%","21.0%","28.1%","62.3%","GA"
"268","Henry County",NA,"84,978","82.2%","80.5%","8.0%","11.6%",27.9,"5.3%","11.1%","2.8%","26.3%","22.0%",NA,"61,322","12.2%","35.1%","25.2%","15.4%","8.5%","3.6%",NA,"245,235",NA,"36.6%","48.8%","0.2%","3.2%","0.0%","1.8%","9.3%","7.9%","35.4%","GA"
"269","Houston County",NA,"60,815","80.3%","78.4%","8.1%","13.8%",25.7,"5.4%","15.6%","2.0%","27.9%","20.1%",NA,"43,499","16.4%","36.1%","28.0%","10.6%","7.6%","1.3%",NA,"166,829",NA,"55.5%","31.7%","1.0%","3.9%","0.0%","2.1%","5.8%","6.9%","53.5%","GA"
"270","Muscogee County",NA,"80,423","74.7%","73.0%","6.4%","10.6%",29.5,"7.4%","22.5%","1.7%","23.7%","19.7%",NA,"49,618","17.8%","45.9%","21.0%","9.3%","4.0%","2.1%",NA,"197,959",NA,"38.9%","46.9%","0.0%","2.9%","0.2%","3.3%","7.7%","7.6%","37.5%","GA"
"271","Newton County",NA,"41,515","79.4%","78.7%","11.8%","14.2%",30.2,"8.4%","14.0%","1.4%","27.9%","19.8%",NA,"32,499","16.0%","24.0%","27.6%","15.7%","12.0%","4.7%",NA,"115,355",NA,"41.7%","47.7%","0.0%","1.4%","0.0%","0.2%","9.1%","1.6%","41.3%","GA"
"272","Paulding County",NA,"58,025","82.5%","79.8%","15.0%","10.3%",28.5,"5.2%","7.9%","1.8%","23.9%","12.5%",NA,"47,901","15.4%","25.1%","37.4%","10.4%","7.2%","4.4%",NA,"173,780",NA,"65.7%","21.5%","0.5%","1.4%","0.0%","2.1%","8.9%","8.0%","64.5%","GA"
"273","Richmond County",NA,"74,476","73.4%","71.7%","6.0%","11.4%",34.1,"6.5%","21.6%","4.7%","23.8%","16.2%",NA,"43,470","18.6%","43.1%","20.2%","10.7%","4.4%","3.0%",NA,"205,673",NA,"33.6%","54.1%","0.2%","1.7%","0.0%","2.0%","8.3%","5.3%","32.5%","GA"
"274","Rockdale County",NA,"33,141","82.6%","80.8%","11.4%","12.8%",32.2,"6.4%","15.5%","3.9%","25.7%","18.6%",NA,"23,113","15.6%","34.0%","28.0%","6.1%","10.0%","6.3%",NA,"94,082",NA,"28.9%","56.4%","1.2%","1.7%","0.0%","5.0%","6.9%","10.7%","25.8%","GA"
"275","Walker County",NA,"25,552","67.8%","65.9%","10.3%","9.4%",40,"6.0%","12.5%","2.9%","21.4%","11.2%",NA,"16,974","N","N","N","N","N","N",NA,"66,478",NA,"N","N","N","N","N","N","N","N","N","GA"
"276","Walton County",NA,"33,517","77.5%","74.1%","10.4%","12.4%",36.3,"3.9%","15.7%","2.2%","28.8%","10.4%",NA,"25,735","17.4%","30.6%","27.9%","9.1%","9.7%","5.3%",NA,"93,595",NA,"70.5%","16.1%","0.0%","1.4%","0.1%","3.6%","8.4%","5.7%","69.4%","GA"
"277","Whitfield County",NA,"23,783","77.7%","76.7%","5.1%","7.0%",33,"3.2%","10.9%","1.6%","19.4%","9.4%",NA,"18,340","N","N","N","N","N","N",NA,"68,567",NA,"79.6%","2.6%","0.2%","1.4%","0.0%","9.3%","6.8%","29.0%","65.6%","GA"
"278","Boise City Independent School",NA,"89,708","80.8%","78.5%","12.6%","23.9%",25,"5.2%","11.7%","4.5%","20.1%","13.6%",NA,"52,430","12.1%","32.9%","37.7%","8.0%","7.3%","2.0%",NA,"213,791",NA,"81.5%","2.3%","0.9%","4.6%","0.3%","2.4%","7.9%","8.3%","79.4%","ID"
"279","Coeur d'Alene School",NA,"34,181","71.1%","67.2%","13.2%","20.6%",36.5,"6.0%","7.3%","4.8%","31.6%","13.8%",NA,"22,723","N","N","N","N","N","N",NA,"88,296",NA,"88.0%","0.2%","0.5%","0.8%","0.0%","2.1%","8.5%","3.9%","87.8%","ID"
"280","Idaho Falls School",NA,"24,033","76.2%","74.8%","12.5%","20.1%",34,"5.6%","7.1%","3.2%","26.8%","10.0%",NA,"15,685","18.4%","29.9%","34.0%","9.9%","6.0%","1.7%",NA,"68,380",NA,"82.7%","0.3%","0.3%","0.9%","0.2%","8.6%","7.1%","17.1%","78.0%","ID"
"281","Meridian Joint School",NA,"96,311","79.3%","74.6%","17.6%","23.7%",30.9,"3.0%","6.3%","4.0%","28.7%","14.9%",NA,"70,216","14.9%","31.5%","38.2%","5.4%","8.0%","1.9%",NA,"265,290",NA,"84.2%","1.0%","0.7%","1.5%","0.1%","4.5%","8.0%","9.9%","83.3%","ID"
"282","Nampa School",NA,"35,755","79.8%","77.3%","15.9%","19.0%",29.6,"4.6%","10.9%","4.4%","22.3%","17.0%",NA,"25,429","N","N","N","N","N","N",NA,"101,125",NA,"71.4%","1.1%","1.8%","0.1%","0.0%","12.1%","13.5%","26.9%","66.1%","ID"
"283","Pocatello School",NA,"30,647","76.8%","71.5%","10.6%","16.4%",32.7,"6.4%","18.0%","5.8%","22.1%","10.6%",NA,"19,247","14.2%","35.7%","31.6%","5.2%","10.4%","3.0%",NA,"80,223",NA,"84.8%","1.3%","3.6%","1.4%","0.1%","2.7%","6.1%","9.4%","81.7%","ID"
"284","Aurora East Unit School",NA,"22,393","86.2%","82.2%","11.6%","8.6%",25.6,"3.6%","25.8%","3.6%","17.4%","10.9%",NA,"17,599","8.1%","31.8%","19.6%","15.0%","17.5%","7.9%",NA,"73,141",NA,"17.3%","4.9%","3.6%","1.1%","0.0%","20.9%","52.2%","N","N","IL"
"285","Aurora West Unit School",NA,"25,764","79.9%","78.0%","7.8%","15.6%",29.4,"3.0%","21.5%","4.2%","23.5%","15.5%",NA,"17,600","10.6%","27.2%","30.3%","10.2%","14.2%","7.5%",NA,"68,088",NA,"54.6%","9.7%","0.9%","1.3%","0.0%","9.0%","24.5%","N","N","IL"
"286","Community Unit School",NA,"44,603","83.6%","82.7%","8.6%","18.4%",24,"2.8%","9.2%","4.2%","18.9%","12.2%",NA,"33,932","11.6%","23.5%","33.2%","10.9%","14.1%","6.6%",NA,"130,264",NA,"65.9%","3.0%","1.0%","4.5%","0.2%","13.5%","11.7%","24.8%","63.0%","IL"
"287","Champaign Community Unit School",NA,"42,200","82.1%","81.3%","8.4%","24.4%",19,"2.1%","9.1%","2.5%","18.4%","7.6%",NA,"21,362","N","N","N","N","N","N",NA,"100,592",NA,"60.3%","15.9%","0.0%","15.6%","0.0%","1.4%","6.7%","4.9%","59.5%","IL"
"288","Chicago Public School",NA,"1,139,537","78.9%","76.5%","9.5%","16.7%",23,"5.6%","21.7%","4.8%","16.1%","10.6%",NA,"580,275","13.6%","34.8%","28.5%","12.3%","6.0%","4.9%",NA,"2,696,561",NA,"36.0%","28.5%","1.1%","6.9%","0.1%","13.1%","14.2%","28.8%","32.9%","IL"
"289","School",NA,"80,890","83.9%","82.4%","8.7%","17.6%",28.7,"3.4%","13.7%","3.3%","23.0%","13.2%",NA,"58,018","10.0%","27.9%","30.8%","12.4%","13.7%","5.2%",NA,"228,599",NA,"43.4%","6.9%","2.2%","9.8%","0.2%","17.0%","20.5%","39.6%","40.4%","IL"
"290","Naperville Community Unit",NA,"37,458","85.7%","84.0%","11.0%","31.5%",23.9,"1.6%","6.7%","3.7%","25.4%","7.1%",NA,"27,490","11.3%","32.2%","41.1%","7.2%","6.7%","1.6%",NA,"97,403",NA,"73.1%","1.9%","0.3%","14.5%","0.0%","2.4%","7.7%","8.0%","71.4%","IL"
"291","McLean County Unit School",NA,"39,464","74.4%","72.6%","8.7%","23.0%",23.2,"2.3%","6.5%","2.3%","23.9%","5.4%",NA,"21,752","N","N","N","N","N","N",NA,"97,994",NA,"77.5%","10.3%","0.4%","6.1%","0.0%","1.5%","4.1%","5.1%","75.5%","IL"
"292","Oswego Community Unit School",NA,"28,842","91.4%","89.0%","10.1%","14.0%",22.1,"3.8%","16.5%","3.0%","21.6%","14.4%",NA,"22,877","N","N","N","N","N","N",NA,"87,774",NA,"64.5%","7.2%","1.6%","7.4%","0.0%","4.0%","15.3%","16.3%","62.3%","IL"
"293","Peoria School",NA,"42,378","74.3%","71.6%","8.5%","14.6%",31.3,"6.3%","27.8%","4.7%","21.9%","10.1%",NA,"22,664","18.9%","39.4%","28.6%","10.1%","2.9%","0.0%",NA,"90,264",NA,"57.1%","23.8%","0.2%","4.0%","0.1%","2.6%","12.1%","7.4%","55.6%","IL"
"294","Plainfield School",NA,"40,471","90.3%","89.4%","9.2%","15.3%",19.5,"2.4%","10.6%","4.0%","21.5%","15.2%",NA,"32,947","7.0%","27.0%","30.8%","10.4%","19.2%","5.5%",NA,"130,485",NA,"64.9%","11.7%","1.1%","8.2%","0.0%","5.7%","8.3%","15.4%","62.1%","IL"
"295","Rockford School",NA,"75,470","71.7%","69.7%","8.4%","18.3%",35.8,"6.4%","27.1%","4.3%","26.4%","12.7%",NA,"44,810","20.0%","34.2%","27.5%","10.5%","4.5%","3.2%",NA,"186,529",NA,"56.0%","18.1%","1.1%","3.3%","0.1%","6.7%","14.6%","19.3%","53.8%","IL"
"296","Springfield School",NA,"50,054","67.6%","66.0%","5.6%","15.1%",33.4,"5.6%","24.5%","2.9%","27.5%","14.6%",NA,"24,221","20.9%","40.2%","22.3%","9.1%","5.1%","2.4%",NA,"107,449",NA,"68.3%","20.2%","0.1%","3.1%","0.0%","0.9%","7.5%","3.1%","67.7%","IL"
"297","St. Charles Community Unit School",NA,"25,903","82.7%","81.1%","12.0%","30.7%",23.4,"1.9%","6.8%","3.6%","25.0%","11.4%",NA,"19,394","N","N","N","N","N","N",NA,"69,155",NA,"79.0%","2.9%","0.3%","6.3%","0.1%","1.6%","9.7%","9.1%","77.2%","IL"
"298","Valley View Community Unit School",NA,"30,386","84.9%","84.4%","8.2%","14.9%",25.1,"3.7%","14.2%","2.7%","25.9%","13.0%",NA,"23,021","13.0%","24.5%","28.3%","19.0%","9.0%","6.3%",NA,"88,788",NA,"42.5%","20.7%","1.0%","6.5%","0.0%","11.7%","17.7%","30.7%","38.8%","IL"
"299","Waukegan Community Unit School",NA,"27,951","84.4%","82.7%","5.3%","13.9%",25.3,"6.4%","24.6%","4.3%","17.9%","15.3%",NA,"19,581","8.4%","29.0%","18.7%","18.6%","16.8%","8.5%",NA,"82,235",NA,"22.1%","11.7%","2.6%","4.7%","0.1%","21.5%","37.4%","64.0%","15.9%","IL"
"300","Indian Prairie Community Unit School",NA,"49,335","88.1%","86.8%","9.1%","24.5%",16.5,"2.6%","6.8%","2.7%","15.4%","11.7%",NA,"36,966","7.7%","29.9%","34.8%","10.9%","13.1%","3.6%",NA,"138,215",NA,"50.9%","9.4%","0.1%","29.1%","0.0%","2.0%","8.5%","7.1%","49.3%","IL"
"301","Community Unit School",NA,"30,891","81.2%","78.2%","9.9%","29.2%",27.9,"1.3%","8.1%","2.4%","20.5%","10.8%",NA,"20,410","13.2%","23.0%","41.8%","7.6%","11.0%","3.4%",NA,"83,812",NA,"70.2%","4.4%","1.0%","5.8%","0.0%","5.3%","13.3%","16.8%","68.8%","IL"
"302","Lawrence Township Metropolitan",NA,"39,523","83.7%","81.5%","10.3%","12.4%",28.6,"4.6%","8.0%","0.9%","25.2%","10.1%",NA,"22,915","N","N","N","N","N","N",NA,"94,861",NA,"61.0%","22.8%","0.0%","1.1%","0.0%","5.1%","10.0%","14.8%","57.9%","IN"
"303","Perry Township Metropolitan",NA,"45,209","82.8%","81.4%","5.9%","14.6%",25.6,"4.3%","9.8%","2.2%","21.2%","14.6%",NA,"26,196","14.0%","34.8%","36.1%","8.2%","5.4%","1.4%",NA,"103,547",NA,"67.9%","6.1%","0.0%","17.0%","0.0%","4.1%","4.7%","9.2%","64.8%","IN"
"304","Pike Township Metropolitan",NA,"32,864","83.3%","81.9%","12.8%","15.0%",22.1,"4.2%","13.0%","5.4%","19.4%","11.7%",NA,"16,700","13.2%","26.3%","31.6%","15.1%","10.1%","3.7%",NA,"76,383",NA,"35.3%","48.0%","1.1%","4.2%","0.0%","3.7%","7.7%","8.8%","33.4%","IN"
"305","Warren Township Metropolitan",NA,"25,561","76.8%","74.9%","8.1%","8.9%",28.6,"7.9%","16.4%","3.6%","20.8%","13.0%",NA,"16,278","N","N","N","N","N","N",NA,"68,415",NA,"43.1%","39.4%","0.0%","0.3%","0.0%","6.3%","10.9%","N","N","IN"
"306","Washington Township Metropolitan",NA,"40,771","83.0%","80.3%","13.0%","22.7%",27.9,"2.0%","6.6%","1.8%","21.2%","7.6%",NA,"21,453","N","N","N","N","N","N",NA,"92,686",NA,"55.1%","30.0%","0.0%","3.5%","0.0%","4.1%","7.3%","6.2%","54.4%","IN"
"307","Wayne Township Metropolitan",NA,"34,696","79.5%","78.3%","5.1%","7.1%",29.8,"3.0%","14.3%","2.7%","23.2%","9.0%",NA,"20,682","16.1%","28.5%","28.1%","14.9%","10.1%","2.3%",NA,"85,453",NA,"49.5%","30.0%","0.0%","0.8%","0.0%","5.7%","13.9%","16.3%","47.7%","IN"
"308","Ankeny Community",NA,"29,463","85.5%","84.3%","12.7%","17.0%",23.2,"2.0%","3.4%","0.6%","20.6%","8.0%",NA,"20,659","N","N","N","N","N","N",NA,"74,794",NA,"88.7%","1.1%","0.0%","4.2%","0.0%","1.1%","4.8%","5.2%","87.4%","IA"
"309","Cedar Rapids Community",NA,"53,416","76.3%","74.6%","7.5%","19.5%",31.4,"3.4%","13.5%","2.5%","24.8%","12.2%",NA,"30,949","17.6%","29.1%","32.3%","8.9%","8.8%","3.2%",NA,"122,021",NA,"81.6%","7.6%","0.2%","1.5%","0.1%","0.9%","8.1%","5.1%","80.1%","IA"
"310","Davenport Community",NA,"47,429","75.2%","73.3%","8.8%","18.4%",30.1,"5.8%","20.1%","6.4%","26.6%","11.9%",NA,"25,717","19.5%","33.8%","27.7%","8.2%","8.7%","2.1%",NA,"108,591",NA,"76.9%","8.7%","0.4%","1.1%","0.1%","1.1%","11.7%","8.6%","73.6%","IA"
"311","Des Moines Independent Community",NA,"89,849","80.6%","78.7%","9.0%","15.6%",27.2,"6.8%","18.4%","3.1%","21.8%","10.5%",NA,"48,785","11.2%","32.8%","31.6%","11.8%","8.4%","4.1%",NA,"210,040",NA,"67.3%","9.2%","0.6%","7.9%","0.0%","4.5%","10.6%","15.1%","63.7%","IA"
"312","Dubuque Community",NA,"32,552","78.2%","76.1%","9.2%","20.9%",31.5,"4.2%","6.2%","1.1%","28.4%","12.4%",NA,"20,520","14.8%","28.1%","33.6%","8.6%","13.6%","1.3%",NA,"78,855",NA,"88.7%","2.9%","0.0%","1.5%","0.9%","0.6%","5.4%","2.3%","87.7%","IA"
"313","Iowa City Community",NA,"48,716","85.1%","83.7%","8.4%","22.1%",19.2,"3.3%","9.2%","3.8%","18.8%","11.6%",NA,"23,700","N","N","N","N","N","N",NA,"121,158",NA,"72.9%","8.5%","0.4%","6.4%","0.0%","1.7%","10.1%","6.8%","71.7%","IA"
"314","Sioux City Community",NA,"33,780","78.5%","76.2%","10.4%","16.3%",31.3,"3.4%","13.9%","4.0%","22.1%","11.7%",NA,"22,590","N","N","N","N","N","N",NA,"86,531",NA,"65.6%","5.8%","2.0%","3.1%","0.1%","3.0%","20.3%","22.1%","62.0%","IA"
"315","Waterloo Community",NA,"33,699","73.6%","70.6%","7.7%","15.8%",34.6,"7.2%","14.7%","3.1%","24.0%","11.7%",NA,"18,363","19.2%","26.0%","33.9%","12.1%","6.9%","1.9%",NA,"75,118",NA,"72.3%","13.1%","0.3%","2.5%","0.8%","4.6%","6.5%","6.5%","71.1%","IA"
"316","Waukee Community",NA,"29,720","89.8%","88.8%","11.4%","22.8%",16.7,"2.7%","10.8%","1.1%","16.3%","6.0%",NA,"N","N","N","N","N","N","N",NA,"72,471",NA,"80.9%","2.7%","0.0%","4.7%","0.0%","1.9%","9.8%","5.3%","80.2%","IA"
"317","Kansas City Unified School",NA,"44,926","77.1%","74.9%","8.3%","10.9%",30,"6.5%","18.7%","1.5%","18.9%","12.2%",NA,"27,726","12.0%","37.6%","22.1%","11.9%","8.2%","8.2%",NA,"122,352",NA,"34.2%","23.1%","1.9%","5.9%","0.0%","18.9%","16.1%","36.2%","29.6%","KS"
"318","Lawrence Unified School",NA,"41,881","82.7%","79.8%","9.5%","24.3%",23.1,"4.1%","9.4%","2.7%","17.7%","12.7%",NA,"19,035","N","N","N","N","N","N",NA,"98,560",NA,"77.3%","4.9%","1.8%","4.7%","0.0%","0.6%","10.8%","6.8%","75.3%","KS"
"319","Olathe Unified School",NA,"63,475","84.7%","83.5%","13.9%","23.4%",23.6,"4.6%","3.9%","1.5%","23.1%","8.0%",NA,"46,013","10.7%","22.1%","45.9%","8.7%","10.7%","2.0%",NA,"165,197",NA,"76.1%","5.0%","0.1%","4.3%","0.0%","3.9%","10.5%","10.0%","74.3%","KS"
"320","Shawnee Mission Public Schools Unified",NA,"102,209","80.7%","78.4%","12.4%","24.7%",26.7,"3.1%","3.4%","1.5%","21.7%","7.6%",NA,"58,887","14.9%","26.3%","41.6%","8.0%","7.9%","1.3%",NA,"228,216",NA,"80.1%","4.7%","0.2%","2.5%","0.1%","3.5%","9.0%","10.4%","77.7%","KS"
"321","Blue Valley Unified School",NA,"50,462","83.0%","81.6%","12.8%","30.7%",23.7,"1.4%","2.4%","1.8%","21.1%","10.8%",NA,"36,876","12.1%","24.6%","45.5%","6.4%","9.5%","1.9%",NA,"133,569",NA,"74.9%","4.0%","0.1%","13.1%","0.0%","0.7%","7.3%","3.9%","73.7%","KS"
"322","Topeka Public Schools Unified School",NA,"42,096","69.1%","65.6%","8.4%","11.2%",32.1,"5.9%","12.2%","1.6%","22.0%","8.0%",NA,"20,051","18.7%","41.4%","25.1%","9.0%","4.0%","1.7%",NA,"90,388",NA,"66.6%","9.6%","0.7%","1.6%","0.0%","8.6%","12.9%","20.3%","62.0%","KS"
"323","Wichita Unified School",NA,"132,761","77.2%","74.7%","8.0%","16.1%",29.2,"5.0%","15.6%","3.4%","23.8%","11.3%",NA,"76,501","13.7%","37.6%","27.0%","12.5%","6.6%","2.7%",NA,"322,679",NA,"60.5%","11.3%","1.0%","5.3%","0.0%","7.2%","14.7%","20.3%","56.3%","KS"
"324","Boone County",NA,"48,335","82.7%","81.6%","7.4%","19.9%",28.4,"4.0%","7.4%","1.9%","25.4%","8.5%",NA,"33,475","11.5%","29.3%","34.3%","10.3%","13.8%","0.7%",NA,"130,430",NA,"84.7%","2.0%","0.4%","2.8%","0.0%","3.3%","6.8%","4.7%","84.4%","KY"
"325","Bullitt County",NA,"30,979","75.4%","73.8%","8.3%","13.0%",35.4,"5.4%","12.0%","2.4%","28.9%","14.5%",NA,"21,921","17.5%","31.5%","31.0%","8.1%","9.5%","2.4%",NA,"82,918",NA,"N","N","N","N","N","N","N","2.7%","89.1%","KY"
"326","Daviess County",NA,"28,440","75.2%","74.1%","9.3%","17.4%",36.7,"4.8%","10.6%","2.1%","30.6%","15.2%",NA,"19,856","N","N","N","N","N","N",NA,"72,584",NA,"86.8%","3.2%","0.1%","2.0%","0.1%","2.6%","5.3%","4.0%","86.5%","KY"
"327","Fayette County",NA,"139,303","81.4%","79.1%","11.4%","18.1%",24.3,"4.7%","10.0%","1.6%","21.1%","10.7%",NA,"74,977","13.7%","29.7%","36.0%","9.7%","8.1%","2.9%",NA,"321,793",NA,"70.2%","12.6%","0.4%","3.8%","0.0%","3.8%","9.3%","7.5%","69.2%","KY"
"328","Hardin County",NA,"35,587","76.1%","73.7%","9.7%","14.9%",33.4,"3.8%","12.3%","1.0%","32.7%","24.0%",NA,"23,801","19.4%","30.3%","29.7%","12.6%","3.6%","4.4%",NA,"92,556",NA,"76.9%","11.9%","0.3%","1.8%","0.0%","1.0%","8.0%","4.0%","76.0%","KY"
"329","Jefferson County",NA,"330,127","77.4%","75.3%","8.9%","16.8%",31.4,"5.0%","12.8%","2.2%","26.1%","11.6%",NA,"196,861","14.8%","34.3%","30.5%","11.1%","6.3%","3.0%",NA,"774,778",NA,"65.1%","20.4%","0.1%","2.8%","0.0%","1.3%","10.2%","6.6%","64.4%","KY"
"330","Kenton County",NA,"41,709","79.2%","78.0%","6.1%","21.4%",28.9,"3.0%","6.5%","2.7%","28.3%","14.1%",NA,"29,155","17.2%","27.7%","36.7%","6.1%","11.4%","0.9%",NA,"107,544",NA,"91.5%","2.0%","0.0%","1.3%","0.0%","0.7%","4.5%","1.5%","91.3%","KY"
"331","Madison County",NA,"34,304","77.7%","74.3%","15.7%","14.4%",29.1,"6.2%","14.0%","1.9%","23.0%","12.8%",NA,"22,567","16.1%","34.5%","32.4%","4.9%","9.3%","2.8%",NA,"89,251",NA,"88.6%","3.2%","0.1%","1.3%","0.0%","1.6%","5.3%","3.0%","88.4%","KY"
"332","Oldham County",NA,"22,895","82.0%","81.0%","11.6%","20.4%",26.1,"1.6%","3.8%","2.1%","22.8%","17.4%",NA,"18,147","N","N","N","N","N","N",NA,"68,685",NA,"86.7%","3.8%","0.7%","1.4%","0.0%","1.1%","6.4%","4.1%","86.0%","KY"
"333","Warren County",NA,"43,171","81.1%","78.0%","11.7%","13.3%",26.8,"4.7%","14.9%","4.1%","21.5%","13.8%",NA,"29,564","12.5%","36.1%","32.7%","8.5%","8.3%","1.9%",NA,"108,880",NA,"79.9%","6.9%","0.6%","5.7%","0.9%","1.0%","5.0%","5.0%","78.0%","KY"
"334","Ascension Parish",NA,"48,129","80.4%","78.1%","7.9%","16.1%",27.2,"6.5%","16.6%","2.4%","22.6%","11.2%",NA,"35,436","16.4%","32.1%","34.6%","6.2%","7.2%","3.6%",NA,"128,369",NA,"66.0%","23.4%","0.5%","1.8%","0.0%","4.3%","3.9%","6.4%","65.6%","LA"
